Entity;Code;Year;Disasters
All disasters;;1900;6
All disasters;;1901;1
All disasters;;1902;10
All disasters;;1903;14
All disasters;;1904;4
All disasters;;1905;8
All disasters;;1906;11
All disasters;;1907;6
All disasters;;1908;3
All disasters;;1909;16
All disasters;;1910;17
All disasters;;1911;19
All disasters;;1912;16
All disasters;;1913;14
All disasters;;1914;17
All disasters;;1915;7
All disasters;;1916;4
All disasters;;1917;7
All disasters;;1918;5
All disasters;;1919;4
All disasters;;1920;11
All disasters;;1921;2
All disasters;;1922;7
All disasters;;1923;15
All disasters;;1924;9
All disasters;;1925;13
All disasters;;1926;18
All disasters;;1927;10
All disasters;;1928;17
All disasters;;1929;5
All disasters;;1930;21
All disasters;;1931;14
All disasters;;1932;15
All disasters;;1933;13
All disasters;;1934;12
All disasters;;1935;16
All disasters;;1936;21
All disasters;;1937;12
All disasters;;1938;8
All disasters;;1939;12
All disasters;;1940;23
All disasters;;1941;22
All disasters;;1942;21
All disasters;;1943;25
All disasters;;1944;23
All disasters;;1945;16
All disasters;;1946;18
All disasters;;1947;14
All disasters;;1948;25
All disasters;;1949;21
All disasters;;1950;27
All disasters;;1951;31
All disasters;;1952;30
All disasters;;1953;36
All disasters;;1954;36
All disasters;;1955;34
All disasters;;1956;39
All disasters;;1957;28
All disasters;;1958;24
All disasters;;1959;37
All disasters;;1960;40
All disasters;;1961;32
All disasters;;1962;31
All disasters;;1963;41
All disasters;;1964;61
All disasters;;1965;62
All disasters;;1966;82
All disasters;;1967;77
All disasters;;1968;80
All disasters;;1969;66
All disasters;;1970;83
All disasters;;1971;67
All disasters;;1972;69
All disasters;;1973;76
All disasters;;1974;75
All disasters;;1975;69
All disasters;;1976;88
All disasters;;1977;120
All disasters;;1978;116
All disasters;;1979;114
All disasters;;1980;123
All disasters;;1981;136
All disasters;;1982;157
All disasters;;1983;215
All disasters;;1984;162
All disasters;;1985;173
All disasters;;1986;146
All disasters;;1987;183
All disasters;;1988;197
All disasters;;1989;172
All disasters;;1990;278
All disasters;;1991;233
All disasters;;1992;217
All disasters;;1993;263
All disasters;;1994;253
All disasters;;1995;253
All disasters;;1996;231
All disasters;;1997;262
All disasters;;1998;300
All disasters;;1999;342
All disasters;;2000;400
All disasters;;2001;380
All disasters;;2002;422
All disasters;;2003;368
All disasters;;2004;365
All disasters;;2005;435
All disasters;;2006;430
All disasters;;2007;413
All disasters;;2008;361
All disasters;;2009;367
All disasters;;2010;412
All disasters;;2011;345
All disasters;;2012;364
All disasters;;2013;342
All disasters;;2014;328
All disasters;;2015;398
All disasters;;2016;349
All disasters;;2017;365
All disasters;;2018;323
All disasters;;2019;412
All disasters;;2020;411
All disasters;;2021;439
All disasters;;2022;440
All disasters;;2023;450
All disasters;;2024;440
All disasters;;2025;244
